url,length_url,length_hostname,nb_dots,nb_hyphens,nb_slash,nb_www,https_token,ratio_digits_url,ratio_digits_host,nb_subdomains,prefix_suffix,shortening_service,nb_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,nb_extCSS,ratio_extRedirection,ratio_extErrors,external_favicon,links_in_tags,ratio_intMedia,ratio_extMedia,safe_anchor,empty_title,domain_in_title,domain_with_copyright,domain_registration_length,domain_age,web_traffic,google_index,page_rank
https://www.youtube.com/,24,15,2,0,3,1,0,0.0,0.0,2,0,0,2,2,3,3,3,0,7,7,0,5,5,0,0,0,10,0.4,0.6,0,0.0,0.3333333333333333,0,100.0,50.0,50.0,0.0,0,0,0,230,5977,0,0,10
https://www.google.com/,23,14,2,0,3,1,0,0.0,0.0,2,0,0,0,2,4,3,3,0,6,6,0,4.5,4.5,0,0,0,14,0.5714285714285714,0.42857142857142855,0,0.8333333333333334,0.0,0,0,100.0,100.0,0.0,0,0,0,2633,8687,0,0,10
https://github.com/,19,10,1,0,3,0,0,0.0,0.0,1,0,0,0,1,0,6,6,0,6,6,0,6,6,0,0,0,257,0.33073929961089493,0.669260700389105,5,0.01744186046511628,0.029069767441860465,1,13.793103448275861,3.361344537815126,3.361344537815126,50.0,0,0,0,467,5011,0,0,8
